Treatment,Plot,SampTime,Season,MarshType,variable,Date,mean,sd,n,se
Nat,-1,SU2006,Summer,Fringing,Acri,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,Bfru,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,Bhal,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,Cpal,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,Dspi,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,Hspp,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,Ifru,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,Jroe,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,Lcar,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,Malb,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,Pame,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,Sspp,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,Salt,2006-08-15,4.678571428571429,10.222913823023601,14,2.732188644304978
Nat,-1,SU2006,Summer,Fringing,Slin,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,Spat,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,Srob,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,Ssem,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,Vlut,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,macroalgae,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,mussel,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,oyster,2006-08-15,28.22142857142857,36.781813620141314,14,9.830353187910294
Nat,-1,SU2006,Summer,Fringing,oyster_live,2006-08-15,0,0,14,0
Nat,-1,SU2006,Summer,Fringing,oyster_culch,2006-08-15,0,0,14,0
